,,,,,,
,,245,78,391,122,
,,14,466,205,311,
,,132,401,88,343,
,,263,197,499,66,
,,329,182,470,155,
,,313,295,437,96,
,,384,219,305,9,
,,228,361,165,252,
,,174,36,445,203,
,,471,51,239,317,
,,119,278,384,23,
,,467,188,64,294,
,,250,314,112,327,
,,143,406,218,83,
,,190,444,351,268,
,,176,486,320,45,
,,91,169,122,487,
,,198,33,457,248,
,,74,299,134,406,
,,367,105,267,378,
,,,,,,
,,n,,80,,=COUNT(C2:F21)
,,max,,499,,=MAX(C2:F21)
,,min,,9,,=MIN(C2:F21)
,,range,,490,,=E24-E25
,,k,7.2801969570734135,7,=1+(3.3*LOG10(E23)),"=ROUND(D27,0)"
,,c,70,70,=E26/E27,"=ROUNDUP(D28,0)"
,,,,,,
,,1,9,79,=E25,=D30+E$28
,,2,80,149,=E30+1,=D31+E$28-1
,,3,150,219,=E31+1,=D32+E$28-1
,,4,220,289,=E32+1,=D33+E$28-1
,,5,290,359,=E33+1,=D34+E$28-1
,,6,360,429,=E34+1,=D35+E$28-1
,,7,430,499,=E35+1,=D36+E$28-1
,,,,,,
,,1,11,,"=FREQUENCY(C$2:F$21, E$30:E$36)",
,,2,12,,,
,,3,14,,,
,,4,10,,,
,,5,13,,,
,,6,9,,,
,,7,11,,,
,,,0,80,,=SUM(D38:D44)
,,,,,,
,,1,11,80,=N(D46)+D38,=D53
,,2,23,69,=N(D47)+D39,=E47-D38
,,3,37,57,=N(D48)+D40,=E48-D39
,,4,47,43,=N(D49)+D41,=E49-D40
,,5,60,33,=N(D50)+D42,=E50-D41
,,6,69,20,=N(D51)+D43,=E51-D42
,,7,80,11,=N(D52)+D44,=E52-D43
,,,,,,
,,1,44,484,=1/2*(D30+E30),=D55*D38
,,2,114.5,1374,=1/2*(D31+E31),=D56*D39
,,3,184.5,2583,=1/2*(D32+E32),=D57*D40
,,4,254.5,2545,=1/2*(D33+E33),=D58*D41
,,5,324.5,4218.5,=1/2*(D34+E34),=D59*D42
,,6,394.5,3550.5,=1/2*(D35+E35),=D60*D43
,,7,464.5,5109.5,=1/2*(D36+E36),=D61*D44
,,,1781,19864.5,=SUM(D55:D61),=SUM(E55:E61)
,,,,,,
,,1,-3,-33,"=C64-ROUND(E$27/2,0)",=D64*D38
,,2,-2,-24,"=C65-ROUND(E$27/2,0)",=D65*D39
,,3,-1,-14,"=C66-ROUND(E$27/2,0)",=D66*D40
,,4,0,0,"=C67-ROUND(E$27/2,0)",=D67*D41
,,5,1,13,"=C68-ROUND(E$27/2,0)",=D68*D42
,,6,2,18,"=C69-ROUND(E$27/2,0)",=D69*D43
,,7,3,33,"=C70-ROUND(E$27/2,0)",=D70*D44
,,,,-7,,=SUM(E64:E70)
,,,,,,
,,SUM mi*fi,,19864.5,,=E62
,,SUM fi,,80,,=E45
,,Xo,,254.5,,=D58
,,MEAN U,,-0.0875,,=E71/E45
,,c,,70,,=E28
,,MEAN X,,248.375,,=E75+E76*E77
,,,,,,
,,kelas median,,40,,=E45/2
,,tb,,219.5,,"=XLOOKUP(E23/2,D47:D53,D30:D36,,1,)-0.5"
,,fk*,,37,,"=N(XLOOKUP(E23/2,D47:D53,D46:D52,,1))"
,,f median,,11,,"=XLOOKUP(E23/22,D47:D53,D38:D44,,1)"
,,c,,70,,=E28
,,MEDIAN,,238.5909090909091,,=(E80-E82)/E83*E84+E81
,,,,,,
,,tb,,149.5,,"=XLOOKUP(MAX(D38:D44),D38:D44,D30:D36,,1)-0.5"
,,d1,,2,,"=MAX(D38:D44)-N(XLOOKUP(MAX(D38:D44),D38:D44,D37:D43,,1))"
,,d2,,4,,"=MAX(D38:D44)-N(XLOOKUP(MAX(D38:D44),D38:D44,D39:D45,,1))"
,,c,,70,,=E28
,,MODUS,,359.5,,=(E88+E89)/E88*E90+E87
,,,,,,
,,i,,3,,
,,n,,80,,=E$45
,,kelas kuartil i/position,,60,,=E93*E94/4
,,tbi,,289.5,,"=XLOOKUP(E95,D$47:D$53,D$30:D$36,,1,)-0.5"
,,fk*i,,47,,"=N(XLOOKUP(E95,D$47:D$53,D$46:D$52,,1))"
,,fQi,,13,,"=XLOOKUP(E95,D$47:D$53,D$38:D$44,,1)"
,,c,,70,,=E$28
,,Quartil i,,359.5,,=(E95-E97)/E98*E99+E96
,,,,,,
,,i,,9,,
,,n,,80,,=E$45
,,kelas desil i/position,,72,,=E102*E103/10
,,tbi,,429.5,,"=XLOOKUP(E104,D$47:D$53,D$30:D$36,,1,)-0.5"
,,fk*i,,69,,"=N(XLOOKUP(E104,D$47:D$53,D$46:D$52,,1))"
,,fDi,,11,,"=XLOOKUP(E104,D$47:D$53,D$38:D$44,,1)"
,,c,,70,,=E$28
,,Desil i,,448.59090909090907,,=(E104-E106)/E107*E108+E105
,,,,,,
,,i,,99,,
,,n,,80,,=E$45
,,kelas persentil i/position,,79.2,,=E111*E112/100
,,tbi,,429.5,,"=XLOOKUP(E113,D$47:D$53,D$30:D$36,,1,)-0.5"
,,fk*i,,69,,"=N(XLOOKUP(E113,D$47:D$53,D$46:D$52,,1))"
,,fPi,,11,,"=XLOOKUP(E113,D$47:D$53,D$38:D$44,,1)"
,,c,,70,,=E$28
,,Persentil i,,494.40909090909093,,=(E113-E115)/E116*E117+E114
,,,,,,
,,1,8.5,79.5,=D30-0.5,=E30+0.5
,,2,79.5,149.5,=D31-0.5,=E31+0.5
,,3,149.5,219.5,=D32-0.5,=E32+0.5
,,4,219.5,289.5,=D33-0.5,=E33+0.5
,,5,289.5,359.5,=D34-0.5,=E34+0.5
,,6,359.5,429.5,=D35-0.5,=E35+0.5
,,7,429.5,499.5,=D36-0.5,=E36+0.5
,,,,,,
,,1,-204.375,204.375,=D55-E$78,=ABS(D128)
,,2,-133.875,133.875,=D56-E$78,=ABS(D129)
,,3,-63.875,63.875,=D57-E$78,=ABS(D130)
,,4,6.125,6.125,=D58-E$78,=ABS(D131)
,,5,76.125,76.125,=D59-E$78,=ABS(D132)
,,6,146.125,146.125,=D60-E$78,=ABS(D133)
,,7,216.125,216.125,=D61-E$78,=ABS(D134)
,,,,,,
,,1,,2248.125,,=E128*D38
,,2,,1606.5,,=E129*D39
,,3,,894.25,,=E130*D40
,,4,,61.25,,=E131*D41
,,5,,989.625,,=E132*D42
,,6,,1315.125,,=E133*D43
,,7,,2377.375,,=E134*D44
,,,,9492.25,,=SUM(E136:E142)
,,,,,,
,,1,41769.140625,459460.546875,=D128^2,=D145*D38
,,2,17922.515625,215070.1875,=D129^2,=D146*D39
,,3,4080.015625,57120.21875,=D130^2,=D147*D40
,,4,37.515625,375.15625,=D131^2,=D148*D41
,,5,5795.015625,75335.203125,=D132^2,=D149*D42
,,6,21352.515625,192172.640625,=D133^2,=D150*D43
,,7,46710.015625,513810.171875,=D134^2,=D151*D44
,,,,1513344.125,,=SUM(E145:E151)
,,,,,,
,,range,cara 1,420.5,,=MAX(D$55:D$61)-MIN(D$55:D$61)
,,,cara 2,490,,=MAX(E$30:E$36)-MIN(D$30:D$36)
,,RS,,118.653125,,=1/E23*E143
,,V,,18916.8015625,,=1/E23*E152
,,S,,137.538363966204,,=SQRT(E157)
,,,,,,
,,Mo,,-0.8079563897335996,,=(E78-E91)/E158
,,Me,,0.21341153028754345,,=(E78-E85)/E158*3
,,,,,,
,,1,1744661108.5510254,19191272194.06128,=E128^4,=D163*D38
,,2,321216566.32836914,3854598795.9404297,=E129^4,=D164*D39
,,3,16646527.50024414,233051385.00341797,=E130^4,=D165*D40
,,4,1407.422119140625,14074.22119140625,=E131^4,=D166*D41
,,5,33582206.09399414,436568679.2219238,=E132^4,=D167*D42
,,6,455929923.51586914,4103369311.6428223,=E133^4,=D168*D43
,,7,2181825559.687744,24000081156.565186,=E134^4,=D169*D44
,,,,51818955596.65625,,
,,,,,,
,,M4,,647736944.9582032,,=1/E23*E170
,,S4,,357845381.3550026,,=E158^4
,,Ukuran Kurtosis,,1.8101028508611992,,=E172/E173
,,Tipe Kurtosis,,Platikurtik,,"=IF(E174>3,""Leptokurtik"",IF(E174<3,""Platikurtik"",""Mesokurtik""))"
,,,,,,
,,1,8.5-79.5,11,"=D120&""-""&E120",=D38
,,2,79.5-149.5,12,"=D121&""-""&E121",=D39
,,3,149.5-219.5,14,"=D122&""-""&E122",=D40
,,4,219.5-289.5,10,"=D123&""-""&E123",=D41
,,5,289.5-359.5,13,"=D124&""-""&E124",=D42
,,6,359.5-429.5,9,"=D125&""-""&E125",=D43
,,7,429.5-499.5,11,"=D126&""-""&E126",=D44
