sep=;
DATA;;;;;;;;;;;;;;;;;;;;;;;;;
26;214;135;93;276;;;;;;;;;;;;;;;;;;;;;
490;114;291;304;347;;;;;;;;;;;;;;;;;;;;;
243;411;157;88;36;;;;;;;;;;;;;;;;;;;;;
372;181;266;195;141;;;cntrl + shift + enter;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
BANYAK DATA [n];=COUNT(A2:E5);;;;BATAS BAWAH;BATAS ATAS;FREKUENSI (fi);fk*;fk**;mi;mi.fi;U;U.fi;;;;;;;;;;;;
MAX;=MAX(A2:E5);;;1;=B9;=F8+C12-1;=@FREQUENCY(A2:E5,G8:G12);=H8;=I12;=1/2*(F8+G8);=K8*H8;-2;=M8*H8;;;;;;;;;;;;
MIN;=MIN(A2:E5);;;2;=G8+1;=F9+$C$12-1;5;=I8+H9;=J8-H8;=1/2*(F9+G9);=K9*H9;-1;=M9*H9;;;;;;;;;;;;
RANGE;=B8-B9;;;3;=G9+1;=F10+$C$12-1;6;=I9+H10;=J9-H9;=1/2*(F10+G10);=K10*H10;0;=M10*H10;;;;;;;;;;;;
JUMLAH/BANYAK KELAS [k];=1+(3.3*LOG(B7));=ROUND(B11,0);;4;=G10+1;=F11+$C$12-1;2;=I10+H11;=J10-H10;=1/2*(F11+G11);=K11*H11;1;=M11*H11;;;;;;;;;;;;
LEBAR KELAS [c];=B10/C11;=ROUNDUP(B12,0);;5;=G11+1;=F12+$C$12-1;2;=I11+H12;=J11-H11;=1/2*(F12+G12);=K12*H12;2;=M12*H12;;;;;;;;;;;;
;;;;;;;=SUM(H8:H12);;;=SUM(K8:K12);=SUM(L8:L12);;=SUM(N8:N12);;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;MEAN;;;;;MEDIAN;;;MODUS;;;QUARTIL;;;DESIL;;;PERSENTIL;;;;;;;
;NILAI TENGAH;;SKALA (INTERVAL KELAS);;;Kelas Median;=H13/2;;tb;=F10-0.5;;i;2;;i;7;;i;95;;;;;;
; SUM mi*fi;=L13;Xo;=K10;;tb;=F9-0.5;;d1;=H10-H9;;n;=H13;;n;=N17;;n;=Q17;;;;;;
